batch	sample_id	intensity	lipidName	LipidIon	Class	CalcMz	qc_grade	qc_sn	qc_rt	qc_height	is_qc	keep_for_correction
batch2	QC_1	34700000	PS(18:1_22:4)	PS(18:1_22:4)-H	PS	836.5447105	NA	63.18829253	NA	NA	TRUE	TRUE
batch2	QC_2	23700000	PS(18:1_22:4)	PS(18:1_22:4)-H	PS	836.5447105	NA	24.3554027	NA	NA	TRUE	TRUE
batch2	QC_3	23300000	PS(18:1_22:4)	PS(18:1_22:4)-H	PS	836.5447105	NA	34.38892871	NA	NA	TRUE	TRUE
batch2	WT_1	31900000	PS(18:1_22:4)	PS(18:1_22:4)-H	PS	836.5447105	NA	1601.0662	NA	NA	FALSE	TRUE
batch2	WT_2	32300000	PS(18:1_22:4)	PS(18:1_22:4)-H	PS	836.5447105	NA	2878384.25	NA	NA	FALSE	TRUE
batch2	WT_3	23600000	PS(18:1_22:4)	PS(18:1_22:4)-H	PS	836.5447105	NA	3.605682582	NA	NA	FALSE	TRUE
batch2	WT_5	30000000	PS(18:1_22:4)	PS(18:1_22:4)-H	PS	836.5447105	NA	271.3235259	NA	NA	FALSE	TRUE
batch2	HO_10	74000000	PS(18:1_22:5)	PS(18:1_22:5)-H	PS	834.5290605	A	45.68187721	NA	NA	FALSE	TRUE
batch2	HO_11	41000000	PS(18:1_22:5)	PS(18:1_22:5)-H	PS	834.5290605	B	12.4705829	NA	NA	FALSE	TRUE
batch2	HO_12	88300000	PS(18:1_22:5)	PS(18:1_22:5)-H	PS	834.5290605	A	8260109	NA	NA	FALSE	TRUE
batch2	HO_9	32600000	PS(18:1_22:5)	PS(18:1_22:5)-H	PS	834.5290605	B	19.86596294	NA	NA	FALSE	TRUE
batch2	QC_0	43100000	PS(18:1_22:5)	PS(18:1_22:5)-H	PS	834.5290605	NA	105.1178863	NA	NA	TRUE	TRUE
batch2	QC_1	45700000	PS(18:1_22:5)	PS(18:1_22:5)-H	PS	834.5290605	A	45.60269583	NA	NA	TRUE	TRUE
batch2	QC_2	57700000	PS(18:1_22:5)	PS(18:1_22:5)-H	PS	834.5290605	NA	110.3904724	NA	NA	TRUE	TRUE
batch2	QC_3	36700000	PS(18:1_22:5)	PS(18:1_22:5)-H	PS	834.5290605	B	23.62397547	NA	NA	TRUE	TRUE
batch2	WT_1	28900000	PS(18:1_22:5)	PS(18:1_22:5)-H	PS	834.5290605	A	14.72342051	NA	NA	FALSE	TRUE
batch2	WT_2	31000000	PS(18:1_22:5)	PS(18:1_22:5)-H	PS	834.5290605	A	7.371701921	NA	NA	FALSE	TRUE
