global_sample_id	AEA	AcCa	CL	Cer	CerG2Gc1	CerP	CerPE	ChE	Co	DG	DLCL	FA	Hex1Cer	Hex2Cer	LPA	LPC	LPE	LPG	LPI	LPS	LSM	MG	MLCL	OAHFA	PA	PC	PE	PEt	PG	PI	PMe	PS	SM	SPH	SPHP	StE	TG	ZyE
batch3_HO_7	NA	25.834161431820313	25.074266953961306	26.384514880338482	NA	28.94789303335748	27.01477671151307	25.629694468506823	27.220357175356074	27.725420184480743	25.483103741504404	NA	27.582164151029104	26.403038982135293	22.32061624426464	26.85624705094566	24.981247956733974	22.47014484461958	22.019714017934163	21.434999186975784	22.96107885365186	NA	25.379911819723134	20.750046703833334	27.52556174444882	31.168237733081934	29.26798139541615	NA	27.805244564768245	27.430377890292146	NA	26.81084156188754	31.47234337078983	25.67707185778439	NA	NA	26.827424854471175	NA
batch3_HO_8	NA	25.882172904778514	24.877362705634173	26.354444571049104	NA	28.520778833866018	28.332249864395852	25.845180914437677	27.44441563125093	27.688836920595154	25.318462392678164	NA	27.4613091766406	26.204563104036062	21.882594679782443	27.01498872390527	24.858754385933835	21.425423638908384	22.05213629181012	21.014856405185057	24.92568195601119	NA	25.404235106799003	20.701472042210185	27.487206622600283	31.0793303618824	29.26356758568613	NA	27.624283228685954	27.399076600832995	NA	27.00073755737592	31.166613331994117	26.728559184354662	NA	NA	27.495603314363386	NA
batch3_QC_0	NA	25.818250239635894	24.930797731641146	26.300998677012956	NA	29.40727095693138	28.4629189864813	25.52071396885344	27.098992104226422	27.660184321144776	25.44532648544808	NA	27.569822853858575	26.221493945135457	21.78974642144697	27.108575713174297	24.71953904078329	22.858186213336914	21.81489416725027	20.89654272410682	25.008353123015855	NA	25.469981306450432	20.78072231690022	27.406455842390944	31.19197125435941	29.283924680174145	NA	27.723349743381753	27.249527098997376	NA	26.66246709398083	31.527549579690078	26.81036408253639	NA	NA	26.99418281638635	NA
batch3_QC_1	NA	25.87356010792568	24.9783889865154	26.323251197025005	NA	29.39321664027174	28.50364062996539	25.519039024893235	27.093570108649875	27.60625995970971	25.46887080331337	NA	27.54020637816834	26.226258354783777	21.901550807867654	27.05300401872891	24.755986140048854	22.601895908832724	22.018214430559038	20.75909121377217	24.999874212092255	NA	25.51845031418305	20.65742502875215	27.580667572057564	31.164052689569115	29.276628208193834	NA	27.695839345502588	27.244050145739294	NA	26.637098427151063	31.51324123149276	26.793038838500898	NA	NA	27.058761065084184	NA
batch3_QC_2	NA	25.838890901933148	24.955539168278616	26.3361611642539	NA	29.40733304431776	28.45516156940838	25.933274597568364	27.19719775318619	27.625274001164648	25.464489961244475	NA	27.577742959169314	26.235912848115955	21.867141741783637	27.055291099305602	24.77758956382977	22.670221133282695	21.86802601669637	20.90291255750996	25.02963169631193	NA	25.466792520103485	20.752615017927276	26.621026859388255	31.212232242045353	29.264987849355208	NA	27.692866729621475	27.203670328177576	NA	26.57597660546922	31.57199896129009	26.805451249990856	NA	NA	27.04456175880391	NA
batch3_QC_3	NA	25.85538967588283	24.984436639053165	26.305204891662193	NA	29.49917309231943	28.485132153841736	26.032840468101774	27.204076681168562	27.622223728242666	25.43047398886479	NA	27.575972222315738	26.215518910227924	21.87937038638733	27.128862588707506	24.812845183149538	22.51681956107593	22.046050902332997	20.864331653138482	25.043753080684592	NA	25.499967434058032	20.874431799985807	27.375874878790857	31.106179753971	29.287059634509106	NA	27.69137401194462	27.224782147891233	NA	26.599056854664166	31.22711783393821	26.852422227175822	NA	NA	27.04838297084301	NA
batch3_WT_1	NA	25.83961350281171	25.096574804224066	26.374655790008298	NA	29.930163480518672	28.58856002231077	25.08769417161883	26.684900979551756	27.486659388901487	25.420037876167974	NA	27.69535323043018	26.34251647411158	21.692443363223	27.119694051429963	24.782757889072993	22.548030800087552	20.739838281533782	19.017028019426157	25.09778316254047	NA	25.49040662713977	21.182090867286544	26.60717446254143	31.13484637482919	29.3397336271506	NA	27.593959396536118	26.8156430704264	NA	25.599658518175957	31.548951323301836	27.428247108893196	NA	NA	26.811624111460194	NA
batch3_WT_2	NA	26.125657104615982	24.986664639720885	26.276646772191583	NA	25.572081025911423	27.88486846694229	25.64276797195318	27.14897783061261	27.701930640865335	25.52770111298944	NA	27.606461778317826	26.061716930533212	22.062784730494243	27.1545707920918	24.784762868281263	22.4455227600967	22.164419761761447	21.028968911549267	25.796641283930576	NA	25.482587709040047	20.616899680276084	27.38642347078617	31.20842370757212	29.254490603387918	NA	27.79182507936907	27.40651924519378	NA	26.721425265375235	31.281668543967243	26.609593739507705	NA	NA	27.137767128734822	NA
batch3_WT_3	NA	25.771268011677368	24.910488016522283	26.276154404702794	NA	29.75847014963454	28.72545509240658	26.000321907333355	26.97556622695717	27.628927756452608	25.465415442087785	NA	27.5915784750802	26.183611750253693	21.746805332482047	27.071767445606884	24.7703163870041	22.870051209684057	21.297030785806967	20.82711055144584	24.690298646993014	NA	25.497857144843607	20.945311336250278	27.42221107046981	31.291260119904706	29.315262694437877	NA	27.786471892523902	27.25414108740764	NA	26.66020540161057	31.52026172744392	26.85192724759342	NA	NA	26.739991455746324	NA
batch3_WT_4	NA	25.235076362459917	24.768144239382952	26.343882837448714	NA	27.975002836247764	28.357776486355654	25.59671646211831	27.44488881252223	27.535165866404444	25.484613114426377	NA	27.657374817992327	26.212526604036857	21.865003280666	27.164132719007842	24.780888800273985	21.75947832822122	22.88827350307939	19.680291015058067	24.73661543690315	NA	25.4852372065709	20.72607872447206	27.593142557003702	31.24227096149045	29.303745412965885	NA	27.764177020414536	26.977213551630907	NA	26.09537405971874	31.471692604333345	27.157755919151715	NA	NA	27.10762851033552	NA
