feature_id	lipidName	LipidIon	Class	CalcMz	n_samples_total	n_non_na_global	detect_rate_global	min_detect_rate_group	var_log	pass_global	pass_group	pass_var	keep_feature
CL(67:5) | CL(67:5)-H | 1383.9337	CL(67:5)	CL(67:5)-H	CL	1383.933655	10	10	1	1	1.6989285275158046	TRUE	TRUE	TRUE	TRUE
CL(68:5) | CL(68:5)+H | 1399.9639	CL(68:5)	CL(68:5)+H	CL	1399.963857	10	10	1	1	1.046139526148851	TRUE	TRUE	TRUE	TRUE
CL(68:7) | CL(68:7)-H | 1393.9180	CL(68:7)	CL(68:7)-H	CL	1393.918005	10	10	1	1	1.4522102679556346	TRUE	TRUE	TRUE	TRUE
CL(69:1) | CL(69:1)-H | 1420.0276	CL(69:1)	CL(69:1)-H	CL	1420.027555	10	10	1	1	0.28168272217045814	TRUE	TRUE	TRUE	TRUE
CL(69:5) | CL(69:5)-H | 1411.9650	CL(69:5)	CL(69:5)-H	CL	1411.964955	10	10	1	1	0.37052852411522524	TRUE	TRUE	TRUE	TRUE
CL(69:6) | CL(69:6)-H | 1409.9493	CL(69:6)	CL(69:6)-H	CL	1409.949305	22	22	1	1	0.7048491394362821	TRUE	TRUE	TRUE	TRUE
CL(70:1) | CL(70:1)-H | 1434.0432	CL(70:1)	CL(70:1)-H	CL	1434.043205	10	10	1	1	0.07891102546829552	TRUE	TRUE	TRUE	TRUE
CL(70:2)-2H | CL(70:2)-2H | 715.5101	CL(70:2)-2H	CL(70:2)-2H	CL	715.5101390299999	9	9	1	1	0.0128363372507624	TRUE	TRUE	FALSE	FALSE
CL(70:3)-2H | CL(70:3)-2H | 714.5023	CL(70:3)-2H	CL(70:3)-2H	CL	714.5023140299999	9	9	1	1	0.02053909676775393	TRUE	TRUE	TRUE	TRUE
CL(70:4) | CL(70:4)+Na | 1451.9928	CL(70:4)	CL(70:4)+Na	CL	1451.992752	10	10	1	1	0.6792848419887654	TRUE	TRUE	TRUE	TRUE
CL(70:5) | CL(70:5)+Na | 1449.9771	CL(70:5)	CL(70:5)+Na	CL	1449.977102	22	22	1	1	0.8436892001630799	TRUE	TRUE	TRUE	TRUE
CL(70:6) | CL(70:6)+H | 1425.9795	CL(70:6)	CL(70:6)+H	CL	1425.979507	22	22	1	1	0.19255369219373014	TRUE	TRUE	TRUE	TRUE
CL(70:7)-2H | CL(70:7)-2H | 710.4710	CL(70:7)-2H	CL(70:7)-2H	CL	710.4710140299999	9	9	1	1	0.039742254331471875	TRUE	TRUE	TRUE	TRUE
CL(71:0) | CL(71:0)-2H | 724.5336	CL(71:0)	CL(71:0)-2H	CL	724.53361399999994	12	12	1	1	0.01423395903289119	TRUE	TRUE	TRUE	TRUE
CL(71:4) | CL(71:4)+H | 1444.0265	CL(71:4)	CL(71:4)+H	CL	1444.026457	10	10	1	1	45.6050877778484	TRUE	TRUE	TRUE	TRUE
CL(71:4) | CL(71:4)-2H | 720.5023	CL(71:4)	CL(71:4)-2H	CL	720.502314	12	12	1	1	0.003989398595475895	TRUE	TRUE	FALSE	FALSE
CL(71:6) | CL(71:6)-2H | 718.4867	CL(71:6)	CL(71:6)-2H	CL	718.486664	12	12	1	1	0.0975891880631758	TRUE	TRUE	TRUE	TRUE
CL(71:8) | CL(71:8)-H | 1433.9493	CL(71:8)	CL(71:8)-H	CL	1433.949305	10	10	1	1	1.1346783490411227	TRUE	TRUE	TRUE	TRUE
CL(72:1) | CL(72:1)-H | 1462.0745	CL(72:1)	CL(72:1)-H	CL	1462.074505	34	34	1	1	14.041560511147518	TRUE	TRUE	TRUE	TRUE
CL(72:1)-2H | CL(72:1)-2H | 730.5336	CL(72:1)-2H	CL(72:1)-2H	CL	730.5336140299999	9	9	1	1	0.06607818493950901	TRUE	TRUE	TRUE	TRUE
CL(72:3)-2H | CL(72:3)-2H | 728.5180	CL(72:3)-2H	CL(72:3)-2H	CL	728.5179640299999	9	9	1	1	0.28082712127212245	TRUE	TRUE	TRUE	TRUE
CL(72:4) | CL(72:4)+Na | 1480.0241	CL(72:4)	CL(72:4)+Na	CL	1480.024052	10	10	1	1	3.5839123728680935	TRUE	TRUE	TRUE	TRUE
CL(72:5) | CL(72:5)+Na | 1478.0084	CL(72:5)	CL(72:5)+Na	CL	1478.008402	22	22	1	1	0.6678126368239363	TRUE	TRUE	TRUE	TRUE
CL(72:6) | CL(72:6)+H | 1454.0108	CL(72:6)	CL(72:6)+H	CL	1454.0108074699997	19	19	1	1	36.33607967160248	TRUE	TRUE	TRUE	TRUE
CL(72:7) | CL(72:7)-H | 1449.9806	CL(72:7)	CL(72:7)-H	CL	1449.980605	10	10	1	1	0.3999729132453113	TRUE	TRUE	TRUE	TRUE
CL(72:7)-2H | CL(72:7)-2H | 724.4867	CL(72:7)-2H	CL(72:7)-2H	CL	724.4866640299999	9	9	1	1	108.39250239038954	TRUE	TRUE	TRUE	TRUE
CL(72:8) | CL(72:8)+H | 1449.9795	CL(72:8)	CL(72:8)+H	CL	1449.9795074699998	9	9	1	1	82.83874624518472	TRUE	TRUE	TRUE	TRUE
CL(73:1) | CL(73:1)-2H | 737.5414	CL(73:1)	CL(73:1)-2H	CL	737.541439	12	12	1	1	0.019150147863359637	TRUE	TRUE	TRUE	TRUE
CL(73:1) | CL(73:1)-H | 1476.0902	CL(73:1)	CL(73:1)-H	CL	1476.090155	10	10	1	1	0.02507473971845977	TRUE	TRUE	TRUE	TRUE
CL(73:2) | CL(73:2)-H | 1474.0745	CL(73:2)	CL(73:2)-H	CL	1474.074505	10	10	1	1	0.15727666845449115	TRUE	TRUE	TRUE	TRUE
CL(73:3) | CL(73:3)+ | 1496.0554	CL(73:3)	CL(73:3)+	CL	1496.055352	9	9	1	1	11.06381255497444	TRUE	TRUE	TRUE	TRUE
CL(73:3) | CL(73:3)+Na | 1496.0554	CL(73:3)	CL(73:3)+Na	CL	1496.055352	10	10	1	1	1.2259718236947073	TRUE	TRUE	TRUE	TRUE
CL(73:4) | CL(73:4)+Na | 1494.0397	CL(73:4)	CL(73:4)+Na	CL	1494.039702	12	12	1	1	0.020464472918066186	TRUE	TRUE	TRUE	TRUE
CL(73:4) | CL(73:4)-H | 1470.0432	CL(73:4)	CL(73:4)-H	CL	1470.043205	10	10	1	1	0.033355569197190245	TRUE	TRUE	TRUE	TRUE
CL(73:5) | CL(73:5)-H | 1468.0276	CL(73:5)	CL(73:5)-H	CL	1468.027555	22	22	1	1	0.10804109019202321	TRUE	TRUE	TRUE	TRUE
CL(73:6) | CL(73:6)-H | 1466.0119	CL(73:6)	CL(73:6)-H	CL	1466.011905	10	10	1	1	0.895277770808415	TRUE	TRUE	TRUE	TRUE
CL(73:7) | CL(73:7)-H | 1463.9963	CL(73:7)	CL(73:7)-H	CL	1463.996255	10	10	1	1	0.49119178728761426	TRUE	TRUE	TRUE	TRUE
