batch	sample_id	intensity	lipidName	LipidIon	Class	CalcMz	qc_grade	qc_sn	qc_rt	qc_height	is_qc
batch1	WT_1	36314710.12	CL(18:2_16:1_18:2_18:2)-H	CL(18:2_16:1_18:2_18:2)-H	CL	1421.949305	A	3250433.5	NA	NA	FALSE
batch1	WT_2	37401687.39	CL(18:2_16:1_18:2_18:2)-H	CL(18:2_16:1_18:2_18:2)-H	CL	1421.949305	A	10.76921597328766	NA	NA	FALSE
batch1	WT_3	31719204.17	CL(18:2_16:1_18:2_18:2)-H	CL(18:2_16:1_18:2_18:2)-H	CL	1421.949305	A	3105522.75	NA	NA	FALSE
batch1	WT_4	29982783.02	CL(18:2_16:1_18:2_18:2)-H	CL(18:2_16:1_18:2_18:2)-H	CL	1421.949305	A	2404628.5	NA	NA	FALSE
batch1	HO_5	0	CL(18:2_18:1_18:1_18:2)-H	CL(18:2_18:1_18:1_18:2)-H	CL	1451.996255	NA	0	NA	NA	FALSE
batch1	HO_6	440370.662	CL(18:2_18:1_18:1_18:2)-H	CL(18:2_18:1_18:1_18:2)-H	CL	1451.996255	NA	0.1465297735239801	NA	NA	FALSE
batch1	HO_7	90286800.4	CL(18:2_18:1_18:1_18:2)-H	CL(18:2_18:1_18:1_18:2)-H	CL	1451.996255	NA	14.352445286035223	NA	NA	FALSE
batch1	HO_8	79811662.76	CL(18:2_18:1_18:1_18:2)-H	CL(18:2_18:1_18:1_18:2)-H	CL	1451.996255	D	14.710564306857552	NA	NA	FALSE
batch1	QC_1	108080202.3	CL(18:2_18:1_18:1_18:2)-H	CL(18:2_18:1_18:1_18:2)-H	CL	1451.996255	A	50.17632109476305	NA	NA	TRUE
batch1	WT_1	175467269.8	CL(18:2_18:1_18:1_18:2)-H	CL(18:2_18:1_18:1_18:2)-H	CL	1451.996255	NA	36.15194531364009	NA	NA	FALSE
batch1	WT_2	256148592.6	CL(18:2_18:1_18:1_18:2)-H	CL(18:2_18:1_18:1_18:2)-H	CL	1451.996255	A	50.76905635464788	NA	NA	FALSE
batch1	WT_3	143613733.3	CL(18:2_18:1_18:1_18:2)-H	CL(18:2_18:1_18:1_18:2)-H	CL	1451.996255	NA	40.10932421195229	NA	NA	FALSE
batch1	WT_4	150607360.9	CL(18:2_18:1_18:1_18:2)-H	CL(18:2_18:1_18:1_18:2)-H	CL	1451.996255	A	37.12247689048609	NA	NA	FALSE
batch1	HO_5	3525890.575	CL(18:2_18:1_18:2_18:2)-H	CL(18:2_18:1_18:2_18:2)-H	CL	1449.9806045300002	NA	1.7105738479132817	NA	NA	FALSE
batch1	HO_6	4451456.805	CL(18:2_18:1_18:2_18:2)-H	CL(18:2_18:1_18:2_18:2)-H	CL	1449.9806045300002	A	1.8344299975743077	NA	NA	FALSE
batch1	HO_7	112944479.5	CL(18:2_18:1_18:2_18:2)-H	CL(18:2_18:1_18:2_18:2)-H	CL	1449.9806045300002	A	24.694023917964785	NA	NA	FALSE
batch1	HO_8	138458044.9	CL(18:2_18:1_18:2_18:2)-H	CL(18:2_18:1_18:2_18:2)-H	CL	1449.9806045300002	A	33.36389878612094	NA	NA	FALSE
batch1	QC_1	152717155.8	CL(18:2_18:1_18:2_18:2)-H	CL(18:2_18:1_18:2_18:2)-H	CL	1449.9806045300002	A	47.02632237347494	NA	NA	TRUE
batch1	WT_1	111449680.2	CL(18:2_18:1_18:2_18:2)-H	CL(18:2_18:1_18:2_18:2)-H	CL	1449.9806045300002	B	2.6353855940999944	NA	NA	FALSE
batch1	WT_2	317359584.6	CL(18:2_18:1_18:2_18:2)-H	CL(18:2_18:1_18:2_18:2)-H	CL	1449.9806045300002	A	118.2854913117384	NA	NA	FALSE
batch1	WT_3	222975212	CL(18:2_18:1_18:2_18:2)-H	CL(18:2_18:1_18:2_18:2)-H	CL	1449.9806045300002	A	36.312295261829085	NA	NA	FALSE
batch1	WT_4	209155995	CL(18:2_18:1_18:2_18:2)-H	CL(18:2_18:1_18:2_18:2)-H	CL	1449.9806045300002	B	24.39313763368949	NA	NA	FALSE
batch1	HO_5	0	CL(18:2_18:1_20:4_20:4)-H	CL(18:2_18:1_20:4_20:4)-H	CL	1497.980605	NA	NA	NA	NA	FALSE
batch1	HO_6	0	CL(18:2_18:1_20:4_20:4)-H	CL(18:2_18:1_20:4_20:4)-H	CL	1497.980605	NA	NA	NA	NA	FALSE
batch1	HO_7	521391.8622	CL(18:2_18:1_20:4_20:4)-H	CL(18:2_18:1_20:4_20:4)-H	CL	1497.980605	A	0	NA	NA	FALSE
batch1	HO_8	1619023.276	CL(18:2_18:1_20:4_20:4)-H	CL(18:2_18:1_20:4_20:4)-H	CL	1497.980605	NA	0	NA	NA	FALSE
