feature_id	lipidName	LipidIon	Class	CalcMz	batch3_HO_5	batch3_HO_6	batch3_HO_7	batch3_HO_8	batch3_QC_0	batch3_QC_1	batch3_QC_2	batch3_QC_3	batch3_WT_1	batch3_WT_2	batch3_WT_3	batch3_WT_4	batch4_HO_10	batch4_HO_6	batch4_HO_7	batch4_QC_1	batch4_QC_2	batch4_QC_3	batch4_WT_1	batch4_WT_3	batch4_WT_4	batch4_WT_5	batch1_HO_5	batch1_HO_6	batch1_HO_7	batch1_HO_8	batch1_QC_1	batch1_WT_1	batch1_WT_2	batch1_WT_3	batch1_WT_4	batch2_HO_10	batch2_HO_11	batch2_HO_12	batch2_HO_9	batch2_QC_0	batch2_QC_1	batch2_QC_2	batch2_QC_3	batch2_WT_1	batch2_WT_2	batch2_WT_3	batch2_WT_5
CL(18:2_18:1_18:2_20:4) | CL(18:2_18:1_18:2_20:4)-H | 1473.9806	CL(18:2_18:1_18:2_20:4)	CL(18:2_18:1_18:2_20:4)-H	CL	1473.980605	25.982847951243816	25.42210590735841	26.20330085838875	25.867877528047856	25.41374048453669	26.031817125623874	26.014813002878572	26.010809003407	25.64016590211045	25.38765648763857	25.44305539333239	25.710191738439377	25.451430661440426	24.60103061473344	24.74598758688642	24.885345165817455	24.897001984244405	25.2459693219627	25.447446158920194	26.344225423965494	25.093466362913382	25.140224137832682	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL(18:2_18:1_18:2_22:6) | CL(18:2_18:1_18:2_22:6)-H | 1497.9806	CL(18:2_18:1_18:2_22:6)	CL(18:2_18:1_18:2_22:6)-H	CL	1497.980605	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.725759609527287	22.95717454543049	23.671617818857204	23.01784151988817	23.43574154917657	23.524270567775112	23.918076043647602	24.794538430633736	23.860044812334277	23.634584161538182	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.20724814018461	20.35754913106628	22.919410778715328	20.89619014403023	21.217212896254892	21.24924240427715	20.94586906429932	21.10655175645147	19.331038199064583	17.62045671962448	19.571686361505538	22.26092617018627
CL(18:2_18:1_20:4_20:4)-H | CL(18:2_18:1_20:4_20:4)-H | 1497.9806	CL(18:2_18:1_20:4_20:4)-H	CL(18:2_18:1_20:4_20:4)-H	CL	1497.980605	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	19.172416743145696	20.61940195294855	21.348057034911434	23.60579157070615	20.787413284011514	20.418296948175588	21.31986976087165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL(18:2_18:2_16:1_16:1) | CL(18:2_18:2_16:1_16:1)-H | 1395.9337	CL(18:2_18:2_16:1_16:1)	CL(18:2_18:2_16:1_16:1)-H	CL	1395.933655	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.586903274699516	18.344667041677152	19.882458021267098	16.961025835176468	18.230657275828264	18.05574575250521	18.119685329808924	17.978147104743968	0	17.377983642770175	0	19.10987386773205
CL(18:2_18:2_18:1_20:3) | CL(18:2_18:2_18:1_20:3)-H | 1475.9963	CL(18:2_18:2_18:1_20:3)	CL(18:2_18:2_18:1_20:3)-H	CL	1475.996255	26.19617248907162	26.31278919823332	26.468033548564232	26.058820307838644	26.2316612688427	26.243034000616	26.266096399618657	26.199774045170326	26.509791712880688	26.274621944389477	26.287075426965018	25.93904598089693	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.505376834645844	23.03676628098449	24.451904485826844	22.24608788613657	22.851869798094146	22.801143669723977	22.829485258787553	22.664068950910256	20.873235400842443	21.181033389829082	20.506514621088712	23.829290139993695
CL(18:2_18:2_18:2_18:2) | CL(18:2_18:2_18:2_18:2)-H | 1447.9650	CL(18:2_18:2_18:2_18:2)	CL(18:2_18:2_18:2_18:2)-H	CL	1447.964955	25.900385792331544	24.7610891850756	25.476495142672498	25.89261647435546	26.364496949939305	25.984722008586363	26.38610456735872	26.442896949356	26.70357339580752	26.544483482087067	25.934041736721493	25.983853775569806	25.265914246653807	24.542136928042062	25.280991913033674	24.77661614182792	24.9706369693417	24.903268774552334	25.32659176680089	26.08689338080262	25.06012259427254	24.931358713509407	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.19790018401658	24.01814471642692	25.168597660354042	23.037543789732783	23.680015397257666	23.72743441727433	23.52175121123001	23.544839925887786	22.39041935230405	22.32515155742801	22.070631708590163	24.683439230282353
CL(18:2_18:2_18:2_18:2)-H | CL(18:2_18:2_18:2_18:2)-H | 1447.9650	CL(18:2_18:2_18:2_18:2)-H	CL(18:2_18:2_18:2_18:2)-H	CL	1447.9649545300001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.307559859813022	22.939605641612456	26.983574732694862	26.880590576560397	26.895839444346915	27.25077024924446	27.9156635810455	26.9982124771591	27.04561577272502	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL(18:2_18:2_18:2_20:3) | CL(18:2_18:2_18:2_20:3)-H | 1473.9806	CL(18:2_18:2_18:2_20:3)	CL(18:2_18:2_18:2_20:3)-H	CL	1473.980605	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.712828455278913	23.375907457970797	24.63050178196356	22.511440659059446	23.03876184495222	23.04375289395498	22.899851804066785	22.93052558020202	21.583495525301743	21.36130110390069	21.000708469090966	23.95327884929797
CL(18:2_18:2_18:2_20:3)-H | CL(18:2_18:2_18:2_20:3)-H | 1473.9806	CL(18:2_18:2_18:2_20:3)-H	CL(18:2_18:2_18:2_20:3)-H	CL	1473.9806045300002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	21.107616153604113	26.003888912372584	26.360094926356265	26.330308931817598	26.96820291910963	27.41471571290927	26.88776346006949	26.823058479745704	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL(18:2_18:2_18:2_20:4) | CL(18:2_18:2_18:2_20:4)-H | 1471.9650	CL(18:2_18:2_18:2_20:4)	CL(18:2_18:2_18:2_20:4)-H	CL	1471.964955	24.14995799282611	24.230574490927594	24.43946444423634	24.154907468627602	24.357802347770615	24.196819502493245	24.13323355292666	24.087159949149758	24.463577205159122	24.316922012268915	24.45599448010167	23.81061611640078	23.44942840303437	23.271489421525004	23.757631728316426	23.318595559706548	23.287461555537803	23.530584341185126	24.099522904228735	24.92059192949231	23.786671630947605	23.497674228351567	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.693823928115076	22.413763198777776	23.517492884732597	21.571120484197756	22.13593173600067	22.20884478844441	21.959897449522675	21.97795158808748	20.882407695363124	21.12977297950846	20.84991716075092	21.961694000003376
