Class	global_sample_id	group	sum_intensity	mean_intensity	log2_mean_intensity
LSM	batch3_HO_6	HO	44351423.32803785	22175711.664018925	24.4024770685204
LSM	batch3_HO_7	HO	16330649.712369254	8165324.856184627	22.96107885365186
LSM	batch3_HO_8	HO	63739393.513566986	31869696.756783493	24.92568195601119
LSM	batch3_QC_0	NA	67498547.57648566	33749273.78824283	25.008353123015855
LSM	batch3_QC_1	NA	67103013.06451909	33551506.532259546	24.999874212092255
LSM	batch3_QC_2	NA	68501474.00433318	34250737.00216659	25.02963169631193
LSM	batch3_QC_3	NA	69175272.2345023	34587636.11725115	25.043753080684592
LSM	batch3_WT_1	WT	71815064.06846315	35907532.03423157	25.09778316254047
LSM	batch3_WT_2	WT	116571613.9853839	58285806.99269195	25.796641283930576
LSM	batch3_WT_3	WT	54144019.11056757	27072009.555283785	24.690298646993014
LSM	batch3_WT_4	WT	55910481.62435135	27955240.812175676	24.73661543690315
MG	batch2_HO_10	HO	68765327.60458694	34382663.80229347	25.035177986383115
MG	batch2_HO_11	HO	62261119.49032732	31130559.74516366	24.89182818172898
MG	batch2_HO_12	HO	64220572.680674136	32110286.340337068	24.93653219442451
MG	batch2_HO_9	HO	112450520.92812046	56225260.46406023	25.744715103528797
MG	batch2_QC_0	NA	81726236.71560256	40863118.35780129	25.28429596783418
MG	batch2_QC_1	NA	80378610.55172598	40189305.27586299	25.260308302973495
MG	batch2_QC_2	NA	77523690.19072077	38761845.09536038	25.208133910056695
MG	batch2_QC_3	NA	77302045.30412005	38651022.652060024	25.204003250561883
MG	batch2_WT_1	WT	97297395.44941784	48648697.72470892	25.53589785028166
MG	batch2_WT_2	WT	78608070.22208261	39304035.11104131	25.228174097200608
MG	batch2_WT_3	WT	92768194.80763008	46384097.40381504	25.467126932299518
MG	batch2_WT_5	WT	46816889.94517717	23408444.972588584	24.48052576334119
MLCL	batch2_HO_10	HO	874218844.4262542	97135427.15847267	26.533494234461592
MLCL	batch2_HO_11	HO	700464884.9212325	77829431.65791473	26.21381248622875
MLCL	batch2_HO_12	HO	773502409.03085506	85944712.11453944	26.356905542532537
MLCL	batch2_HO_9	HO	682367631.9353042	75818625.77058935	26.176048971789445
MLCL	batch2_QC_0	NA	694773247.0124521	77197027.44582799	26.202041960257656
MLCL	batch2_QC_1	NA	677220398.0217531	75246710.89130588	26.165125185824643
MLCL	batch2_QC_2	NA	698896178.1385498	77655130.9042833	26.21057791510375
MLCL	batch2_QC_3	NA	716488617.3590121	79609846.37322356	26.246443542660217
MLCL	batch2_WT_1	WT	616616710.924753	68512967.88052809	26.029873746098744
MLCL	batch2_WT_2	WT	800600613.0021658	88955623.66690728	26.40658247802213
MLCL	batch2_WT_3	WT	684304172.1388319	76033796.90431465	26.180137501031982
MLCL	batch2_WT_5	WT	691465454.8306402	76829494.98118223	26.19515693471648
MLCL	batch3_HO_5	HO	634012560.3546256	48770196.950355805	25.53949646268188
MLCL	batch3_HO_6	HO	553023799.5071177	42540292.26977828	25.34232660946858
