feature_id	lipidName	LipidIon	Class	CalcMz	n_samples_total	n_non_na_global	detect_rate_global	min_detect_rate_group	var_log	pass_global	pass_group	pass_var	keep_feature
CL(72:6) | CL(72:6)+H | 1454.0108	CL(72:6)	CL(72:6)+H	CL	1454.0108074699997	9	9	1	1	75.81889050340854	TRUE	TRUE	TRUE	TRUE
CL(72:7)-2H | CL(72:7)-2H | 724.4867	CL(72:7)-2H	CL(72:7)-2H	CL	724.4866640299999	9	9	1	1	108.39250239038954	TRUE	TRUE	TRUE	TRUE
CL(72:8) | CL(72:8)+H | 1449.9795	CL(72:8)	CL(72:8)+H	CL	1449.9795074699998	9	9	1	1	82.83874624518472	TRUE	TRUE	TRUE	TRUE
CL(73:1) | CL(73:1)-2H | 737.5414	CL(73:1)	CL(73:1)-2H	CL	737.541439	12	12	1	1	0.01915014786335963	TRUE	TRUE	TRUE	TRUE
CL(73:3) | CL(73:3)+ | 1496.0554	CL(73:3)	CL(73:3)+	CL	1496.055352	9	9	1	1	11.06381255497444	TRUE	TRUE	TRUE	TRUE
CL(73:4) | CL(73:4)+Na | 1494.0397	CL(73:4)	CL(73:4)+Na	CL	1494.039702	12	12	1	1	0.02046447291806618	TRUE	TRUE	TRUE	TRUE
CL(73:5) | CL(73:5)-H | 1468.0276	CL(73:5)	CL(73:5)-H	CL	1468.027555	12	12	1	1	0.0706750166172785	TRUE	TRUE	TRUE	TRUE
CL(74:0) | CL(74:0)-2H | 745.5571	CL(74:0)	CL(74:0)-2H	CL	745.557089	12	12	1	1	0.01311344800524439	TRUE	TRUE	TRUE	TRUE
CL(74:1)-2H | CL(74:1)-2H | 744.5493	CL(74:1)-2H	CL(74:1)-2H	CL	744.5492640299999	9	9	1	1	0.2782314584488806	TRUE	TRUE	TRUE	TRUE
CL(74:1)-H | CL(74:1)-H | 1490.1058	CL(74:1)-H	CL(74:1)-H	CL	1490.105805	9	9	1	1	0.13082492325892237	TRUE	TRUE	TRUE	TRUE
