batch	lipidName	LipidIon	CalcMz	n_qc_total	n_qc_non_na	qc_mean	qc_sd	qc_cv	qc_missing_prop	qc_sn_median	qc_rt_mean	qc_rt_sd	qc_height_mean	n_samples_total	n_samples_non_na	detect_rate	pass_n_qc	pass_mean	pass_cv	pass_sn	pass_rt	keep_for_correction
batch1	CL(82:13)-2H	CL(82:13)-2H	788.5179640299999	1	1	248992786.9	NA	NA	0	12.995432718555351	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	CL(82:15)-2H	CL(82:15)-2H	786.5023140299999	1	1	38775444.39	NA	NA	0	9.507158342	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
batch1	CL(82:5)-2H	CL(82:5)-2H	796.5805640299999	1	1	7326183.285	NA	NA	0	713281.25	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	CL(82:6)-2H	CL(82:6)-2H	795.5727390299999	1	1	22685323.28	NA	NA	0	2.094615783689529	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
batch1	CL(82:6)-H	CL(82:6)-H	1592.152755	1	1	18612250.41	NA	NA	0	17.150121010755853	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	CL(82:7)-2H	CL(82:7)-2H	794.5649140299998	1	1	30616007.7	NA	NA	0	1.3713497441799625	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
batch1	CL(82:8)-2H	CL(82:8)-2H	793.5570890299999	1	1	46567112.85	NA	NA	0	8.848814538	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
batch1	CL(82:9)-H	CL(82:9)-H	1586.105805	1	1	6256470	NA	NA	0	4.601665608703604	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
batch1	CL(83:8)-H	CL(83:8)-H	1602.137105	1	1	6515476.394	NA	NA	0	3.505675916750456	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
batch1	CL(83:9)-H	CL(83:9)-H	1600.1214545300002	1	1	10149502.08	NA	NA	0	1341460.75	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	CL(86:1)-2H	CL(86:1)-2H	828.6431640299999	1	1	4436389.524	NA	NA	0	4.837598921583203	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
batch1	CL(86:11)-2H	CL(86:11)-2H	818.5649140299998	1	1	14496948.83	NA	NA	0	0.2832680132447733	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
batch1	CL(86:14)-2H	CL(86:14)-2H	815.5414390299999	1	1	21965383.77	NA	NA	0	0	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
batch1	CL(86:5)-2H	CL(86:5)-2H	824.6118640299999	1	1	23818562.35	NA	NA	0	10.547526679385006	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	CL(86:7)-2H	CL(86:7)-2H	822.5962140299998	1	1	9140071.15	NA	NA	0	1.9291767596923863	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
batch1	CL(86:9)-2H	CL(86:9)-2H	820.5805640299999	1	1	24791341.12	NA	NA	0	1258974.38	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	CL(87:13)-2H	CL(87:13)-2H	823.5570890299999	1	1	151391863.8	NA	NA	0	18006414	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	CL(90:19)-2H	CL(90:19)-2H	838.5336140299999	1	1	3080004.077	NA	NA	0	412521.19	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	Cer(d18:0_16:0)	Cer(d18:0_16:0)+H	540.5350204700001	1	1	22285117.76	NA	NA	0	11.352664089592176	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	Cer(d18:0_24:0)	Cer(d18:0_24:0)+H	652.6602205	1	1	3219228.475	NA	NA	0	0	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
batch1	Cer(d18:1_16:0)	Cer(d18:1_16:0)+H	538.5193705	1	1	200571169.5	NA	NA	0	38.86871632583451	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	Cer(d18:1_16:0)	Cer(d18:1_16:0)+HCOO	582.5102975299999	1	1	453259219.5	NA	NA	0	54671028	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	Cer(d18:1_16:0)-H	Cer(d18:1_16:0)-H	536.5048175299999	1	1	133237819.3	NA	NA	0	344.9754773165362	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	Cer(d18:1_22:0)	Cer(d18:1_22:0)+HCOO	666.6041975	1	1	72587030.09	NA	NA	0	11287094	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	Cer(d18:1_22:0)-H	Cer(d18:1_22:0)-H	620.5987175299999	1	1	16951211.75	NA	NA	0	2390741.25	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	Cer(d18:1_23:0)	Cer(d18:1_23:0)+HCOO	680.6198475299999	1	1	25234722.15	NA	NA	0	12.908000581295758	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	Cer(d18:1_23:0)-H	Cer(d18:1_23:0)-H	634.6143675299999	1	1	5913075.367	NA	NA	0	800193.19	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	Cer(d18:1_23:1)	Cer(d18:1_23:1)+HCOO	678.6041975	1	1	10493840.48	NA	NA	0	8.920614940565573	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
batch1	Cer(d18:1_23:1)-H	Cer(d18:1_23:1)-H	632.5987175299999	1	1	2267719.095	NA	NA	0	265573.44	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	Cer(d18:1_24:0)	Cer(d18:1_24:0)+H	650.6445704700001	1	1	337372851	NA	NA	0	802.1616818301572	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	Cer(d18:1_24:0)	Cer(d18:1_24:0)+HCOO	694.6354975	1	1	380402861.3	NA	NA	0	52736748	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	Cer(d18:1_24:0)-H	Cer(d18:1_24:0)-H	648.6300175299999	1	1	74165647.46	NA	NA	0	41.02965426	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	Cer(d18:1_24:1)	Cer(d18:1_24:1)+H	648.6289205	1	1	549678591.6	NA	NA	0	42.957420773615354	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	Cer(d18:1_24:1)	Cer(d18:1_24:1)+HCOO	692.6198475299999	1	1	480934194.3	NA	NA	0	79.62932572	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	Cer(d18:1_24:1)-H	Cer(d18:1_24:1)-H	646.6143675299999	1	1	106536659.3	NA	NA	0	30.994656586232733	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	Cer(d18:1_24:2)	Cer(d18:1_24:2)+HCOO	690.6041975	1	1	240969509.6	NA	NA	0	163.29721537141384	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	Cer(d18:1_24:2)-H	Cer(d18:1_24:2)-H	644.5987175299999	1	1	51797920.4	NA	NA	0	5633950.5	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
