feature_id	lipidName	LipidIon	Class	CalcMz	n_samples_total	n_non_na_global	detect_rate_global	min_detect_rate_group	var_log	pass_global	pass_group	pass_var	keep_feature	n_batches_qc	any_keep_for_corr	qc_mean_median	qc_cv_median	qc_sn_median_median	qc_rt_sd_median
CL(66:1)-2H | CL(66:1)-2H | 688.4867	CL(66:1)-2H	CL(66:1)-2H	CL	688.4866640299999	9	9	1	1	0.03659216297114996	TRUE	TRUE	TRUE	TRUE	1	FALSE	219845591.9	NA	14.700929207507036	NA
CL(66:3)-2H | CL(66:3)-2H | 686.4710	CL(66:3)-2H	CL(66:3)-2H	CL	686.4710140299999	9	9	1	1	0.02867866000139056	TRUE	TRUE	TRUE	TRUE	1	FALSE	6422736.808	NA	641374.56	NA
CL(67:0) | CL(67:0)-2H | 696.5023	CL(67:0)	CL(67:0)-2H	CL	696.502314	12	12	1	1	0.04028089665668797	TRUE	TRUE	TRUE	TRUE	1	FALSE	14950000	0.0674447423065961	5.733460926499999	0.01539209753953869
CL(69:6) | CL(69:6)-H | 1409.9493	CL(69:6)	CL(69:6)-H	CL	1409.949305	12	12	1	1	0.23411760163331705	TRUE	TRUE	TRUE	TRUE	2	FALSE	1114330.5649958332	0.25339055257393794	20658.5230158485	0.02062954030745473
CL(70:2)-2H | CL(70:2)-2H | 715.5101	CL(70:2)-2H	CL(70:2)-2H	CL	715.5101390299999	9	9	1	1	0.0128363372507624	TRUE	TRUE	TRUE	TRUE	1	FALSE	153687445.4	NA	17709866	NA
CL(70:3)-2H | CL(70:3)-2H | 714.5023	CL(70:3)-2H	CL(70:3)-2H	CL	714.5023140299999	9	9	1	1	0.02053909676775393	TRUE	TRUE	TRUE	TRUE	1	FALSE	311022825.8	NA	46.77926751449448	NA
CL(70:5) | CL(70:5)+Na | 1449.9771	CL(70:5)	CL(70:5)+Na	CL	1449.977102	12	12	1	1	0.34658367964230835	TRUE	TRUE	TRUE	TRUE	2	TRUE	84666666.66666667	0.27278932803304445	13.7214688755	0.011037500108862794
CL(70:6) | CL(70:6)+H | 1425.9795	CL(70:6)	CL(70:6)+H	CL	1425.979507	12	12	1	1	0.06861196814055154	TRUE	TRUE	TRUE	TRUE	2	FALSE	33195833.333333332	0.18090849698644507	3.1838823762499997	0.021720216975510315
CL(70:7)-2H | CL(70:7)-2H | 710.4710	CL(70:7)-2H	CL(70:7)-2H	CL	710.4710140299999	9	9	1	1	0.03974225433147187	TRUE	TRUE	TRUE	TRUE	1	FALSE	8136986.752	NA	1112698	NA
CL(71:0) | CL(71:0)-2H | 724.5336	CL(71:0)	CL(71:0)-2H	CL	724.53361399999994	12	12	1	1	0.01423395903289119	TRUE	TRUE	TRUE	TRUE	1	TRUE	28850000	0.01909036584847869	2694142.5	NA
CL(71:4) | CL(71:4)-2H | 720.5023	CL(71:4)	CL(71:4)-2H	CL	720.502314	12	12	1	1	0.00398939859547589	TRUE	TRUE	FALSE	FALSE	1	TRUE	324250000	0.04478942270294413	190.0551389	0.00509901951359297
CL(71:6) | CL(71:6)-2H | 718.4867	CL(71:6)	CL(71:6)-2H	CL	718.486664	12	12	1	1	0.0975891880631758	TRUE	TRUE	TRUE	TRUE	1	TRUE	4277216.29325	0.2602356497064785	11.075362945	NA
CL(72:1) | CL(72:1)-H | 1462.0745	CL(72:1)	CL(72:1)-H	CL	1462.074505	24	24	1	1	20.05555282256833	TRUE	TRUE	TRUE	TRUE	3	TRUE	2317840.2963333335	0.15026393632723026	161620.03	0.007989416501323815
CL(72:1)-2H | CL(72:1)-2H | 730.5336	CL(72:1)-2H	CL(72:1)-2H	CL	730.5336140299999	9	9	1	1	0.06607818493950901	TRUE	TRUE	TRUE	TRUE	1	FALSE	25622418.85	NA	4.742176833281401	NA
