feature_id	lipidName	LipidIon	Class	CalcMz	n_samples_total	n_non_na_global	detect_rate_global	min_detect_rate_group	var_log	pass_global	pass_group	pass_var	keep_feature	n_batches_qc	any_keep_for_corr	qc_mean_median	qc_cv_median	qc_sn_median_median	qc_rt_sd_median
CL(19:1_18:2_18:2_18:2) | CL(19:1_18:2_18:2_18:2)-H | 1463.9963	CL(19:1_18:2_18:2_18:2)	CL(19:1_18:2_18:2_18:2)-H	CL	1463.996255	12	12	1	1	0.8628032768737826	TRUE	TRUE	TRUE	TRUE	1	FALSE	895279.916225	0.765125173637763	1.5656541895	0.02806391514620312
CL(20:2_18:1_18:2_18:2) | CL(20:2_18:1_18:2_18:2)-H | 1478.0119	CL(20:2_18:1_18:2_18:2)	CL(20:2_18:1_18:2_18:2)-H	CL	1478.011905	10	10	1	1	2.065208946744111	TRUE	TRUE	TRUE	TRUE	1	TRUE	57533333.333333336	0.13127526726798333	14.98185812	0.0228108161479
CL(20:2_18:2_18:1_18:2)-H | CL(20:2_18:2_18:1_18:2)-H | 1478.0119	CL(20:2_18:2_18:1_18:2)-H	CL(20:2_18:2_18:1_18:2)-H	CL	1478.011905	9	9	1	1	133.6591326656311	TRUE	TRUE	TRUE	TRUE	1	FALSE	46213658.29	NA	39.00377747586478	NA
CL(20:4_18:0_18:1_18:2) | CL(20:4_18:0_18:1_18:2)-H | 1478.0119	CL(20:4_18:0_18:1_18:2)	CL(20:4_18:0_18:1_18:2)-H	CL	1478.011905	12	12	1	1	0.03435730337319254	TRUE	TRUE	TRUE	TRUE	1	TRUE	61350000	0.06585516733100197	41.10806078	0.01858987179442865
CL(20:4_18:1_18:2_20:3)-H | CL(20:4_18:1_18:2_20:3)-H | 1499.9963	CL(20:4_18:1_18:2_20:3)-H	CL(20:4_18:1_18:2_20:3)-H	CL	1499.996255	9	9	1	1	71.89735709534511	TRUE	TRUE	TRUE	TRUE	1	FALSE	31194082.82	NA	3.579353743	NA
CL(20:5_16:1_18:2_18:2) | CL(20:5_16:1_18:2_18:2)-H | 1443.9337	CL(20:5_16:1_18:2_18:2)	CL(20:5_16:1_18:2_18:2)-H	CL	1443.933655	10	10	1	1	1.115829861792398	TRUE	TRUE	TRUE	TRUE	1	FALSE	2045633.2606666668	0.16349393062848053	4.143532071	0.00814452781524765
CL(20:5_18:2_16:1_16:1) | CL(20:5_18:2_16:1_16:1)-H | 1417.9180	CL(20:5_18:2_16:1_16:1)	CL(20:5_18:2_16:1_16:1)-H	CL	1417.918005	10	10	1	1	1.660294897481327	TRUE	TRUE	TRUE	TRUE	1	FALSE	638052.6862666667	0.3955511710994341	1.665116296	0.01474222959166385
CL(20:5_18:2_16:1_18:2) | CL(20:5_18:2_16:1_18:2)-H | 1443.9337	CL(20:5_18:2_16:1_18:2)	CL(20:5_18:2_16:1_18:2)-H	CL	1443.933655	12	12	1	1	0.03694709711446397	TRUE	TRUE	TRUE	TRUE	1	FALSE	2437838.6195	0.04898509350035274	1.936925671	0.00984462628374785
CL(20:5_18:2_18:2_18:2) | CL(20:5_18:2_18:2_18:2)-H | 1469.9493	CL(20:5_18:2_18:2_18:2)	CL(20:5_18:2_18:2_18:2)-H	CL	1469.949305	12	12	1	1	59.11738856655708	TRUE	TRUE	TRUE	TRUE	1	TRUE	935076.925	0.11698706776443404	51378.7966830675	NA
CL(20:5_18:2_18:2_18:2)-H | CL(20:5_18:2_18:2_18:2)-H | 1469.9493	CL(20:5_18:2_18:2_18:2)-H	CL(20:5_18:2_18:2_18:2)-H	CL	1469.949305	9	9	1	1	112.9591027635547	TRUE	TRUE	TRUE	TRUE	1	FALSE	14740192.1	NA	1499658.75	NA
CL(20:5_18:2_18:2_20:4) | CL(20:5_18:2_18:2_20:4)-H | 1493.9493	CL(20:5_18:2_18:2_20:4)	CL(20:5_18:2_18:2_20:4)-H	CL	1493.949305	12	12	1	1	0.05417608892255266	TRUE	TRUE	TRUE	TRUE	1	FALSE	2607958.66875	0.08777964725923838	7.140658975	0.02155612828563351
CL(20:5_20:4_18:2_18:2) | CL(20:5_20:4_18:2_18:2)-H | 1493.9493	CL(20:5_20:4_18:2_18:2)	CL(20:5_20:4_18:2_18:2)-H	CL	1493.949305	10	10	1	1	1.024819367379835	TRUE	TRUE	TRUE	TRUE	1	FALSE	1325645.8678666668	0.4739911586076258	38.28162196	0.00896288643983209
CL(21:0_22:4_18:1_18:0) | CL(21:0_22:4_18:1_18:0)-H | 1552.1215	CL(21:0_22:4_18:1_18:0)	CL(21:0_22:4_18:1_18:0)-H	CL	1552.121455	10	10	1	1	0.04232671234709925	TRUE	TRUE	TRUE	TRUE	1	TRUE	45000000	0.04163331998932265	12.86672804	0.00999999999999978
CL(21:0_22:5_18:0_18:1) | CL(21:0_22:5_18:0_18:1)-2H | 774.5493	CL(21:0_22:5_18:0_18:1)	CL(21:0_22:5_18:0_18:1)-2H	CL	774.549264	12	12	1	1	0.01260418016096458	TRUE	TRUE	FALSE	FALSE	1	TRUE	121250000	0.04171543891544609	11.967534665	0.01828250529878306
CL(21:0_22:6_16:0_18:1) | CL(21:0_22:6_16:0_18:1)-H | 1520.0589	CL(21:0_22:6_16:0_18:1)	CL(21:0_22:6_16:0_18:1)-H	CL	1520.058855	12	12	1	1	0.02383396953828547	TRUE	TRUE	TRUE	TRUE	1	TRUE	5320914.728	0.11184792317686398	10.7734826605	0.00892094912738159
CL(21:1_22:5_18:1_18:1) | CL(21:1_22:5_18:1_18:1)-2H | 772.5336	CL(21:1_22:5_18:1_18:1)	CL(21:1_22:5_18:1_18:1)-2H	CL	772.53361399999994	12	12	1	1	0.01184601258915802	TRUE	TRUE	FALSE	FALSE	1	TRUE	59600000	0.03915787710115055	22.723430305999997	0.00419324854180287
CL(22:1_24:1_18:0_18:1) | CL(22:1_24:1_18:0_18:1)-H | 1598.1997	CL(22:1_24:1_18:0_18:1)	CL(22:1_24:1_18:0_18:1)-H	CL	1598.199705	10	10	1	1	0.5820305938978285	TRUE	TRUE	TRUE	TRUE	1	FALSE	1162647.0443333334	0.05159617620701231	1.024872201	0.02627419519858403
CL(23:0_20:3_18:0_22:4) | CL(23:0_20:3_18:0_22:4)-H | 1604.1528	CL(23:0_20:3_18:0_22:4)	CL(23:0_20:3_18:0_22:4)-H	CL	1604.152755	10	10	1	1	0.1450130008618759	TRUE	TRUE	TRUE	TRUE	1	FALSE	8466119.639	0.2923738714160572	2.884620268	0.00305505046330413
CL(23:0_22:5_18:0_18:1)-H | CL(23:0_22:5_18:0_18:1)-H | 1578.1371	CL(23:0_22:5_18:0_18:1)-H	CL(23:0_22:5_18:0_18:1)-H	CL	1578.137105	9	9	1	1	0.06301390919307276	TRUE	TRUE	TRUE	TRUE	1	FALSE	17832669.22	NA	0.6278255605189113	NA
CL(24:0_16:0_18:0_14:0)-2H | CL(24:0_16:0_18:0_14:0)-2H | 731.5414	CL(24:0_16:0_18:0_14:0)-2H	CL(24:0_16:0_18:0_14:0)-2H	CL	731.5414390299999	9	9	1	1	0.05264667406734472	TRUE	TRUE	TRUE	TRUE	1	FALSE	14447028.24	NA	1041879.19	NA
CL(24:0_18:2_18:1_18:1)-2H | CL(24:0_18:2_18:1_18:1)-2H | 769.5571	CL(24:0_18:2_18:1_18:1)-2H	CL(24:0_18:2_18:1_18:1)-2H	CL	769.5570890299999	9	9	1	1	0.4273111788439396	TRUE	TRUE	TRUE	TRUE	1	FALSE	67464135.35	NA	14.275872068545723	NA
CL(64:4) | CL(64:4)-H | 1343.9024	CL(64:4)	CL(64:4)-H	CL	1343.902355	10	10	1	1	32.509989225715984	TRUE	TRUE	TRUE	TRUE	1	TRUE	288307.55166666664	0.18449639722219724	34692.42	0.04077172222672643
CL(66:1)-2H | CL(66:1)-2H | 688.4867	CL(66:1)-2H	CL(66:1)-2H	CL	688.4866640299999	9	9	1	1	0.03659216297114996	TRUE	TRUE	TRUE	TRUE	1	FALSE	219845591.9	NA	14.700929207507036	NA
CL(66:3)-2H | CL(66:3)-2H | 686.4710	CL(66:3)-2H	CL(66:3)-2H	CL	686.4710140299999	9	9	1	1	0.02867866000139056	TRUE	TRUE	TRUE	TRUE	1	FALSE	6422736.808	NA	641374.56	NA
CL(66:4) | CL(66:4)+H | 1373.9482	CL(66:4)	CL(66:4)+H	CL	1373.948207	10	10	1	1	4.03282996489924	TRUE	TRUE	TRUE	TRUE	1	FALSE	1408204.4516666664	1.371312317778769	10.67561574	0.06317436188834959
CL(67:0) | CL(67:0)-2H | 696.5023	CL(67:0)	CL(67:0)-2H	CL	696.502314	12	12	1	1	0.04028089665668797	TRUE	TRUE	TRUE	TRUE	1	FALSE	14950000	0.0674447423065961	5.733460926499999	0.01539209753953869
CL(67:0) | CL(67:0)-H | 1394.0119	CL(67:0)	CL(67:0)-H	CL	1394.011905	10	10	1	1	1.1515931114608398	TRUE	TRUE	TRUE	TRUE	1	TRUE	703509.4266666666	0.2611416762492831	24.71305676	0.00923760430703402
CL(67:4) | CL(67:4)-H | 1385.9493	CL(67:4)	CL(67:4)-H	CL	1385.949305	10	10	1	1	0.8125875121319546	TRUE	TRUE	TRUE	TRUE	1	TRUE	495106.341	0.1984221470184825	65230.15	0.02720906711619029
CL(67:5) | CL(67:5)-H | 1383.9337	CL(67:5)	CL(67:5)-H	CL	1383.933655	10	10	1	1	1.6989285275158046	TRUE	TRUE	TRUE	TRUE	1	FALSE	467696.8983333333	0.34574052563118346	1.358027261	0.00945163125250536
CL(68:5) | CL(68:5)+H | 1399.9639	CL(68:5)	CL(68:5)+H	CL	1399.963857	10	10	1	1	1.046139526148851	TRUE	TRUE	TRUE	TRUE	1	FALSE	14628710.805	0.6978442852845175	2.677041675	0.04101625693957734
