batch	sample_id	intensity	lipidName	LipidIon	Class	CalcMz	qc_grade	qc_sn	qc_rt	qc_height	is_qc
batch1	WT_3	393414265.1	PE(16:0_22:4)-H	PE(16:0_22:4)-H	PE	766.5392305299999	A	7.354875313068524	NA	NA	FALSE
batch1	WT_2	312429462.9	PE(16:0_22:4)-H	PE(16:0_22:4)-H	PE	766.5392305299999	A	8.062528081217772	NA	NA	FALSE
batch1	WT_1	337552675.2	PE(16:0_22:4)-H	PE(16:0_22:4)-H	PE	766.5392305299999	A	7.190626328716744	NA	NA	FALSE
batch1	HO_8	392637550.1	PE(16:0_22:4)-H	PE(16:0_22:4)-H	PE	766.5392305299999	A	6.606814095542961	NA	NA	FALSE
batch1	HO_7	351890364.7	PE(16:0_22:4)-H	PE(16:0_22:4)-H	PE	766.5392305299999	A	47.78820237357119	NA	NA	FALSE
batch1	HO_6	322845278.1	PE(16:0_22:4)-H	PE(16:0_22:4)-H	PE	766.5392305299999	A	3.221268191004237	NA	NA	FALSE
batch1	HO_5	340814281.9	PE(16:0_22:4)-H	PE(16:0_22:4)-H	PE	766.5392305299999	A	4.592690492651292	NA	NA	FALSE
batch1	QC_1	4224391628	PE(18:0_20:4)-H	PE(18:0_20:4)-H	PE	766.5392305299999	A	74.25672781190097	NA	NA	TRUE
batch1	WT_4	4236463963	PE(18:0_20:4)-H	PE(18:0_20:4)-H	PE	766.5392305299999	A	80.20949470746567	NA	NA	FALSE
batch1	WT_3	4363025230	PE(18:0_20:4)-H	PE(18:0_20:4)-H	PE	766.5392305299999	A	90.02680821877921	NA	NA	FALSE
batch1	WT_2	4297340898	PE(18:0_20:4)-H	PE(18:0_20:4)-H	PE	766.5392305299999	A	82.49544756221749	NA	NA	FALSE
batch1	WT_1	4503258343	PE(18:0_20:4)-H	PE(18:0_20:4)-H	PE	766.5392305299999	A	76.23725222380729	NA	NA	FALSE
batch1	HO_8	4376432549	PE(18:0_20:4)-H	PE(18:0_20:4)-H	PE	766.5392305299999	A	72.01777000826588	NA	NA	FALSE
batch1	HO_7	3718506356	PE(18:0_20:4)-H	PE(18:0_20:4)-H	PE	766.5392305299999	A	65.00566857	NA	NA	FALSE
